year,country,bbd
1980,Brazil,244.5
1981,Brazil,283.06
1982,Brazil,348.19
1983,Brazil,459.51
1984,Brazil,614.37
1985,Brazil,734.35
1986,Brazil,739.97058
1987,Brazil,767.53431
1988,Brazil,750.79499
1989,Brazil,789.5309
1990,Brazil,821.11709
1991,Brazil,838.44905
1992,Brazil,823.52195
1993,Brazil,839.39919
1994,Brazil,957.17092
1995,Brazil,989.7745
1996,Brazil,1106.53982
1997,Brazil,1172.1578
1998,Brazil,1282.36318
1999,Brazil,1427.64817
2000,Brazil,1534.1069
2001,Brazil,1573.48551
2002,Brazil,1757.89225
2003,Brazil,1846.89884
2004,Brazil,1839.48343
2005,Brazil,2037.52243
2006,Brazil,2169.46364
2007,Brazil,2283.50454
2008,Brazil,2431.46922
2009,Brazil,2561.71301
2010,Brazil,2712.47255
2011,Brazil,2685.15441
2012,Brazil,2651.8941
1980,Denmark,5.2825
1981,Denmark,14.7459
1982,Denmark,34.1658
1983,Denmark,44.3428
1984,Denmark,45.86096
1985,Denmark,58.07495
1986,Denmark,76.18792
1987,Denmark,96.88202
1988,Denmark,98.85976
1989,Denmark,116.94032
1990,Denmark,121.12745
1991,Denmark,143.63123
1992,Denmark,163.42971
1993,Denmark,174.33727
1994,Denmark,185.61003
1995,Denmark,187.30654
1996,Denmark,210.06396
1997,Denmark,233.25498
1998,Denmark,240.62451
1999,Denmark,302.63873
2000,Denmark,365.17927
2001,Denmark,348.98958
2002,Denmark,373.43236
2003,Denmark,378.40922
2004,Denmark,392.7449
2005,Denmark,380.78402
2006,Denmark,345.73955
2007,Denmark,315.29015
2008,Denmark,290.39414
2009,Denmark,264.30807
2010,Denmark,249.46475
2011,Denmark,226.28422
2012,Denmark,207.38405
1980,Finland,-0.4318
1981,Finland,0.8412
1982,Finland,2.0142
1983,Finland,3.0672
1984,Finland,4.18552
1985,Finland,4.22003
1986,Finland,4.76423
1987,Finland,5.38922
1988,Finland,5.44508
1989,Finland,5.23831
1990,Finland,5.71853
1991,Finland,6.57835
1992,Finland,7.4276
1993,Finland,7.53177
1994,Finland,8.91368
1995,Finland,9.24073
1996,Finland,8.94997
1997,Finland,8.35945
1998,Finland,9.11999
1999,Finland,8.9777
2000,Finland,8.27969
2001,Finland,7.8004
2002,Finland,9.01284
2003,Finland,9.28445
2004,Finland,9.15518
2005,Finland,9.17124
2006,Finland,10.18874
2007,Finland,9.78874
2008,Finland,8.53291
2009,Finland,9.54122
2010,Finland,15.30335
2011,Finland,14.2309
2012,Finland,13.5309
1980,Germany,0
1981,Germany,0
1982,Germany,
1983,Germany,0
1984,Germany,0
1985,Germany,0
1986,Germany,0
1987,Germany,0
1988,Germany,0
1989,Germany,0
1990,Germany,0
1991,Germany,148.01887
1992,Germany,131.71644
1993,Germany,136.88703
1994,Germany,127.04025
1995,Germany,125.56914
1996,Germany,125.60148
1997,Germany,125.1802
1998,Germany,128.99952
1999,Germany,129.6182
2000,Germany,134.96042
2001,Germany,129.52011
2002,Germany,135.70219
2003,Germany,139.07225
2004,Germany,124.67114
2005,Germany,153.7431
2006,Germany,165.64423
2007,Germany,120.36124
2008,Germany,124.89943
2009,Germany,133.06079
2010,Germany,125.00158
2011,Germany,141.00015
2012,Germany,144.50771
1980,Japan,39.5
1981,Japan,38
1982,Japan,44
1983,Japan,38.5
1984,Japan,46.4
1985,Japan,50.55
1986,Japan,52.33086
1987,Japan,54.90148
1988,Japan,59.53452
1989,Japan,62.56727
1990,Japan,66.58838
1991,Japan,77.47666
1992,Japan,81.65835
1993,Japan,84.54281
1994,Japan,81.65123
1995,Japan,90.95009
1996,Japan,99.97622
1997,Japan,101.07275
1998,Japan,104.44808
1999,Japan,109.48328
2000,Japan,112.19908
2001,Japan,121.0593
2002,Japan,120.17484
2003,Japan,116.56882
2004,Japan,123.39171
2005,Japan,128.45471
2006,Japan,131.5628
2007,Japan,132.44415
2008,Japan,125.27161
2009,Japan,137.62415
2010,Japan,142.47224
2011,Japan,136.25701
2012,Japan,135.51252
1980,Mexico,2129
1981,Mexico,2554
1982,Mexico,3003
1983,Mexico,2954
1984,Mexico,3049.53766
1985,Mexico,3027.27825
1986,Mexico,2802.53733
1987,Mexico,2897.76744
1988,Mexico,2888.94511
1989,Mexico,2913.3321
1990,Mexico,2991.70622
1991,Mexico,3149.02361
1992,Mexico,3133.8483
1993,Mexico,3139.9889
1994,Mexico,3158.63464
1995,Mexico,3075.21086
1996,Mexico,3293.46875
1997,Mexico,3421.93305
1998,Mexico,3501.56659
1999,Mexico,3354.28521
2000,Mexico,3460.0852
2001,Mexico,3570.03017
2002,Mexico,3593.34925
2003,Mexico,3807.67752
2004,Mexico,3847.93316
2005,Mexico,3784.06672
2006,Mexico,3711.89798
2007,Mexico,3500.28969
2008,Mexico,3184.16393
2009,Mexico,3000.79117
2010,Mexico,2978.59944
2011,Mexico,2959.98935
2012,Mexico,2936.00884
1980,Norway,528.743
1981,Norway,513.818
1982,Norway,533.739
1983,Norway,664.137
1984,Norway,755.697
1985,Norway,826.742
