Country,GII,GDP_CAPITA,TYPE,REGION
Switzerland,66.59,79052.33747,HI,EUR
Sweden,61.36,55244.64631,HI,EUR
United Kingdom,61.25,38514.45612,HI,EUR
Netherlands,61.14,46054.41195,HI,EUR
United States,60.31,49965.27075,HI,NAC
Finland,59.51,46178.59208,HI,EUR
"Hong Kong SAR, China",59.43,36795.81988,HI,SEAO
Singapore,59.41,51709.4533,HI,SEAO
Denmark,58.34,56210.22695,HI,EUR
Ireland,57.91,45835.74742,HI,EUR
Canada,57.6,52218.99369,HI,NAC
Luxembourg,56.57,107475.9479,HI,EUR
Iceland,56.4,42658.40212,HI,EUR
Germany,55.83,41514.1686,HI,EUR
Norway,55.64,99557.73123,HI,EUR
New Zealand,54.46,37749.44272,HI,SEAO
"Korea, Rep.",53.31,22590.15648,HI,SEAO
Australia,53.07,67035.57121,HI,SEAO
France,52.83,39771.84281,HI,EUR
Belgium,52.49,43412.52594,HI,EUR
Japan,52.23,46720.35666,HI,SEAO
Austria,51.87,47226.19574,HI,EUR
Malta,51.79,20847.59057,HI,EUR
Estonia,50.6,16316.4569,HI,EUR
Spain,49.41,29195.37564,HI,EUR
Cyprus,49.32,26315.47319,HI,NAWA
Czech Republic,48.36,18607.71089,HI,EUR
Italy,47.85,33048.75146,HI,EUR
Slovenia,47.32,22000.50561,HI,EUR
Hungary,46.93,12621.74354,HI,EUR
Malaysia,46.92,10380.53903,UM,SEAO
Latvia,45.24,13983.95912,UM,EUR
Portugal,45.1,20182.39722,HI,EUR
China,44.66,6188.194326,UM,SEAO
Slovak Republic,42.25,16931.62563,HI,EUR
Croatia,41.95,13227.46836,HI,EUR
Costa Rica,41.54,9396.451252,UM,LCN
Lithuania,41.39,14096.94464,UM,EUR
Bulgaria,41.33,6986.041681,UM,EUR
Saudi Arabia,41.21,25136.21482,HI,NAWA
Montenegro,40.95,6813.043709,UM,EUR
Moldova,40.94,2037.935123,LM,EUR
Chile,40.58,15355.89101,UM,LCN
Romania,40.33,7942.833505,UM,EUR
Poland,40.12,12707.85431,HI,EUR
"Macedonia, FYR",38.18,4567.571746,UM,EUR
Uruguay,38.08,14449.4991,UM,LCN
Mauritius,38,8124.174246,UM,SSF
Serbia,37.87,5189.579379,UM,EUR
Greece,37.71,22082.88975,HI,EUR
Argentina,37.66,11452.12901,UM,LCN
Thailand,37.63,5479.76058,UM,SEAO
South Africa,37.6,7507.67494,UM,SSF
Armenia,37.59,3337.863688,LM,NAWA
Colombia,37.38,7751.678181,UM,LCN
Jordan,37.3,4945.128838,UM,NAWA
Russian Federation,37.2,14037.02502,UM,EUR
Mexico,36.82,9747.456388,UM,LCN
Brazil,36.33,11339.52111,UM,LCN
Bosnia and Herzegovina,36.24,4446.519543,UM,EUR
India,36.17,1489.235167,LM,CSA
Turkey,36.03,10666.05568,UM,NAWA
Peru,35.96,6568.039292,UM,LCN
Tunisia,35.82,4236.793631,UM,NAWA
Ukraine,35.78,3867.019984,LM,EUR
Mongolia,35.77,3672.96694,LM,SEAO
Georgia,35.56,3508.405838,LM,NAWA
Brunei Darussalam,35.53,41126.61284,HI,SEAO
Lebanon,35.47,9705.392234,UM,NAWA
Vietnam,34.82,1595.813026,LM,SEAO
Belarus,34.62,6685.020017,UM,EUR
Guyana,34.36,3583.96217,LM,LCN
Dominican Republic,33.28,5736.441889,UM,LCN
Trinidad and Tobago,33.17,17934.05942,HI,LCN
Jamaica,32.89,5471.722433,UM,LCN
Ecuador,32.83,5424.633611,UM,LCN
Kazakhstan,32.73,11935.43126,UM,CSA
Indonesia,31.95,3557.392736,LM,SEAO
Panama,31.82,9534.408425,UM,LCN
Guatemala,31.46,3351.140433,LM,LCN
El Salvador,31.32,3789.567558,LM,LCN
Uganda,31.21,547.0062461,LI,SSF
Philippines,31.18,2587.016648,LM,SEAO
Botswana,31.14,7191.430872,UM,SSF
Morocco,30.89,2902.329958,LM,NAWA
Albania,30.85,4148.851675,LM,EUR
Ghana,30.6,1604.905782,LM,SSF
Bolivia,30.48,2575.683695,LM,LCN
Senegal,30.48,1031.599645,LM,SSF
Fiji,30.46,4437.755016,LM,SEAO
Sri Lanka,30.45,2923.13194,LM,CSA
Kenya,30.28,864.7447928,LI,SSF
Paraguay,30.28,3813.471488,LM,LCN
Tajikistan,30,872.3368872,LI,CSA
Cape Verde,29.69,3837.675237,LM,SSF
Swaziland,29.6,3043.502831,LM,SSF
Azerbaijan,28.99,7391.974966,UM,NAWA
Mali,28.84,693.9843612,LI,SSF
Honduras,28.8,2334.768383,LM,LCN
"Egypt, Arab Rep.",28.48,3187.312591,LM,NAWA
Namibia,28.36,5785.748182,UM,SSF
Cambodia,28.07,945.9893246,LI,SEAO
Gabon,28.04,11430.49375,UM,SSF
Rwanda,27.64,619.9270577,LI,SSF
"Venezuela, RB",27.25,12728.72716,UM,LCN
Nicaragua,27.1,1753.642367,LM,LCN
Burkina Faso,27.03,634.3209746,LI,SSF
Kyrgyz Republic,26.98,1159.6309,LI,CSA
Zambia,26.79,1469.121162,LM,SSF
Malawi,26.73,268.0539113,LI,SSF
Nigeria,26.57,1555.410979,LM,SSF
Mozambique,26.5,578.799378,LI,SSF
"Gambia, The",26.39,512.1031992,LI,SSF
Tanzania,26.35,608.8542574,LI,SSF
Lesotho,26.29,1193.039051,LM,SSF
Cameroon,25.71,1151.355085,LM,SSF
Guinea,25.7,591.018949,LI,SSF
Benin,25.1,751.9163168,LI,SSF
Nepal,24.97,706.646201,LI,CSA
Ethiopia,24.8,470.2236381,LI,SSF
Bangladesh,24.52,747.3375061,LI,CSA
Niger,24.03,382.8300879,LI,SSF
Zimbabwe,23.98,787.938246,LI,SSF
Uzbekistan,23.87,1716.526284,LM,CSA
Syrian Arab Republic,23.73,3289.056325,LM,NAWA
Angola,23.46,5484.834969,UM,SSF
Cote d'Ivoire,23.42,1243.986075,LM,SSF
Pakistan,23.33,1290.364915,LM,CSA
Algeria,23.11,5403.999221,UM,NAWA
Togo,23.04,574.1195223,LI,SSF
Madagascar,22.95,447.4371289,LI,SSF
Sudan,19.81,1580.004017,LM,SSF
"Yemen, Rep.",19.32,1494.432832,LM,NAWA
