year,country,money
1986,Brazil,-2497.783623
1987,Brazil,-3148.266273
1988,Brazil,-2632.574676
1989,Brazil,-2894.616679
1990,Brazil,-4458.050471
1991,Brazil,-3483.57478
1992,Brazil,-3819.701407
1993,Brazil,-3430.076911
1994,Brazil,-3221.233841
1995,Brazil,-3836.752193
1996,Brazil,-4335.619478
1997,Brazil,-4487.038984
1998,Brazil,-2819.19666
1999,Brazil,-3414.442168
2000,Brazil,-4561.796448
2001,Brazil,-3873.058351
2002,Brazil,-2351.939257
2003,Brazil,-1443.915793
2004,Brazil,-2397.328937
2005,Brazil,-2033.730651
2006,Brazil,-1705.801749
2007,Brazil,-1123.389836
2008,Brazil,4802.541308
2009,Brazil,1101.953599
2010,Brazil,1555.346363
1986,Denmark,-731.7240779
1987,Denmark,-743.9831681
1988,Denmark,-503.9821709
1989,Denmark,-433.7494676
1990,Denmark,-489.5656014
1991,Denmark,-271.7108684
1992,Denmark,-156.4636721
1993,Denmark,-114.2778562
1994,Denmark,-114.1051401
1995,Denmark,-171.471033
1996,Denmark,-135.5123733
1997,Denmark,32.6912858
1998,Denmark,61.07394968
1999,Denmark,401.5638737
2000,Denmark,1119.773612
2001,Denmark,830.0817923
2002,Denmark,1109.358984
2003,Denmark,1314.963452
2004,Denmark,1755.005203
2005,Denmark,2378.748551
2006,Denmark,2253.173627
2007,Denmark,1956.752806
2008,Denmark,2314.718062
2009,Denmark,1342.735922
2010,Denmark,1406.235688
1986,Finland,-1095.165555
1987,Finland,-1433.175528
1988,Finland,-1076.387842
1989,Finland,-1222.149703
1990,Finland,-1514.728407
1991,Finland,-1183.655012
1992,Finland,-1191.523665
1993,Finland,-947.4292179
1994,Finland,-948.6436619
1995,Finland,-930.8176397
1996,Finland,-1054.545152
1997,Finland,-1022.50385
1998,Finland,-696.1064802
1999,Finland,-981.6808336
2000,Finland,-1475.980195
2001,Finland,-1247.379323
2002,Finland,-1310.280086
2003,Finland,-1459.813088
2004,Finland,-1777.558551
2005,Finland,-2522.893314
2006,Finland,-3092.939184
2007,Finland,-3413.354268
2008,Finland,-4424.411236
2009,Finland,-2702.871049
2010,Finland,-3441.007728
1986,Germany,0
1987,Germany,0
1988,Germany,0
1989,Germany,0
1990,Germany,0
1991,Germany,-14462.36847
1992,Germany,-14837.24717
1993,Germany,-12840.2999
1994,Germany,-12385.56695
1995,Germany,-13241.86692
1996,Germany,-15196.74335
1997,Germany,-14591.2823
1998,Germany,-9682.007881
1999,Germany,-13151.03898
2000,Germany,-18991.00371
2001,Germany,-16395.71497
2002,Germany,-16204.10282
2003,Germany,-17450.69454
2004,Germany,-21362.88595
2005,Germany,-29739.29893
2006,Germany,-35885.87934
2007,Germany,-36035.60294
2008,Germany,-51176.43993
2009,Germany,-31852.12554
2010,Germany,-40209.8629
1986,Japan,-22334.65
1987,Japan,-28662.76682
1988,Japan,-22957.95796
1989,Japan,-27406.71714
1990,Japan,-36254.40021
1991,Japan,-28652.64765
1992,Japan,-29552.77774
1993,Japan,-24606.6702
1994,Japan,-25047.20337
1995,Japan,-26912.19302
1996,Japan,-30644.70122
1997,Japan,-29272.9175
1998,Japan,-18721.38199
1999,Japan,-26883.99066
2000,Japan,-38989.6869
2001,Japan,-32393.5508
