NUM_EDO,Entidad,Gini
2,BAJA CALIFORNIA,0.439
26,SONORA,0.441
8,CHIHUAHUA,0.471
5,COAHUILA DE ZARAGOZA,0.453
3,BAJA CALIFORNIA SUR,0.462
19,NUEVO LEON,0.453
20,TAMAULIPAS,0.43
21,SINALOA,0.461
10,DURANGO,0.476
32,ZACATECAS,0.461
24,SAN LUIS POTOSI,0.526
18,NAYARIT,0.497
14,JALISCO,0.458
30,VERACRUZ DE IGNACIO DE LA LLAVE,0.514
1,AGUASCALIENTES,0.482
11,GUANAJUATO,0.482
22,QUERETARO DE ARTEAGA,0.504
31,YUCATAN,0.48
23,QUINTANA ROO,0.472
13,HIDALGO,0.511
4,CAMPECHE,0.488
21,PUEBLA,0.517
16,MICHOACAN DE OCAMPO,0.487
15,MEXICO,0.44
29,TLAXCALA,0.462
9,DISTRITO FEDERAL,0.482
6,COLIMA,0.44
17,MORELOS,0.469
12,GUERRERO,0.527
20,OAXACA,0.526
27,TABASCO,0.509
7,CHIAPAS,0.543
