NUM_EDO,Entidad,year,bbd
2,BAJA CALIFORNIA,1980,0
2,BAJA CALIFORNIA,1981,0
2,BAJA CALIFORNIA,1982,0
2,BAJA CALIFORNIA,1983,0
2,BAJA CALIFORNIA,1984,0
2,BAJA CALIFORNIA,1985,0
2,BAJA CALIFORNIA,1986,0
2,BAJA CALIFORNIA,1987,0
2,BAJA CALIFORNIA,1988,0
2,BAJA CALIFORNIA,1989,0
2,BAJA CALIFORNIA,1990,0
2,BAJA CALIFORNIA,1991,0
2,BAJA CALIFORNIA,1992,0
2,BAJA CALIFORNIA,1993,0
2,BAJA CALIFORNIA,1994,0
2,BAJA CALIFORNIA,1995,0
2,BAJA CALIFORNIA,1996,0
2,BAJA CALIFORNIA,1997,0
2,BAJA CALIFORNIA,1998,0
2,BAJA CALIFORNIA,1999,0
2,BAJA CALIFORNIA,2000,0
2,BAJA CALIFORNIA,2001,0
2,BAJA CALIFORNIA,2002,0
2,BAJA CALIFORNIA,2003,0
2,BAJA CALIFORNIA,2004,0
2,BAJA CALIFORNIA,2005,0
2,BAJA CALIFORNIA,2006,0
2,BAJA CALIFORNIA,2007,0
2,BAJA CALIFORNIA,2008,0
2,BAJA CALIFORNIA,2009,0
2,BAJA CALIFORNIA,2010,0
2,BAJA CALIFORNIA,2011,0
2,BAJA CALIFORNIA,2012,0
26,SONORA,1980,0
26,SONORA,1981,0
26,SONORA,1982,0
26,SONORA,1983,0
26,SONORA,1984,0
26,SONORA,1985,0
26,SONORA,1986,0
26,SONORA,1987,0
26,SONORA,1988,0
26,SONORA,1989,0
26,SONORA,1990,0
26,SONORA,1991,0
26,SONORA,1992,0
26,SONORA,1993,0
26,SONORA,1994,0
26,SONORA,1995,0
26,SONORA,1996,0
26,SONORA,1997,0
26,SONORA,1998,0
26,SONORA,1999,0
26,SONORA,2000,0
26,SONORA,2001,0
26,SONORA,2002,0
26,SONORA,2003,0
26,SONORA,2004,0
26,SONORA,2005,0
26,SONORA,2006,0
26,SONORA,2007,0
26,SONORA,2008,0
26,SONORA,2009,0
26,SONORA,2010,0
26,SONORA,2011,0
26,SONORA,2012,0
8,CHIHUAHUA,1980,0
8,CHIHUAHUA,1981,0
8,CHIHUAHUA,1982,0
8,CHIHUAHUA,1983,0
8,CHIHUAHUA,1984,0
8,CHIHUAHUA,1985,0
8,CHIHUAHUA,1986,0
8,CHIHUAHUA,1987,0
8,CHIHUAHUA,1988,0
8,CHIHUAHUA,1989,0
8,CHIHUAHUA,1990,0
8,CHIHUAHUA,1991,0
8,CHIHUAHUA,1992,0
8,CHIHUAHUA,1993,0
8,CHIHUAHUA,1994,0
8,CHIHUAHUA,1995,0
8,CHIHUAHUA,1996,0
8,CHIHUAHUA,1997,0
8,CHIHUAHUA,1998,0
8,CHIHUAHUA,1999,0
8,CHIHUAHUA,2000,0
8,CHIHUAHUA,2001,0
8,CHIHUAHUA,2002,0
8,CHIHUAHUA,2003,0
8,CHIHUAHUA,2004,0
8,CHIHUAHUA,2005,0
8,CHIHUAHUA,2006,0
8,CHIHUAHUA,2007,0
8,CHIHUAHUA,2008,0
8,CHIHUAHUA,2009,0
8,CHIHUAHUA,2010,0
8,CHIHUAHUA,2011,0
8,CHIHUAHUA,2012,0
5,COAHUILA DE ZARAGOZA,1980,2129
5,COAHUILA DE ZARAGOZA,1981,2554
5,COAHUILA DE ZARAGOZA,1982,3003
5,COAHUILA DE ZARAGOZA,1983,2954
5,COAHUILA DE ZARAGOZA,1984,3049.53766
5,COAHUILA DE ZARAGOZA,1985,3027.27825
5,COAHUILA DE ZARAGOZA,1986,2802.53733
5,COAHUILA DE ZARAGOZA,1987,2897.76744
5,COAHUILA DE ZARAGOZA,1988,2888.94511
5,COAHUILA DE ZARAGOZA,1989,2913.3321
5,COAHUILA DE ZARAGOZA,1990,2991.70622
5,COAHUILA DE ZARAGOZA,1991,3149.02361
5,COAHUILA DE ZARAGOZA,1992,3133.8483
5,COAHUILA DE ZARAGOZA,1993,3139.9889
5,COAHUILA DE ZARAGOZA,1994,3158.63464
5,COAHUILA DE ZARAGOZA,1995,3075.21086
5,COAHUILA DE ZARAGOZA,1996,3293.46875
5,COAHUILA DE ZARAGOZA,1997,3421.93305
5,COAHUILA DE ZARAGOZA,1998,3501.56659
5,COAHUILA DE ZARAGOZA,1999,3354.28521
5,COAHUILA DE ZARAGOZA,2000,3460.0852
5,COAHUILA DE ZARAGOZA,2001,3570.03017
5,COAHUILA DE ZARAGOZA,2002,3593.34925
5,COAHUILA DE ZARAGOZA,2003,3807.67752
5,COAHUILA DE ZARAGOZA,2004,3847.93316
5,COAHUILA DE ZARAGOZA,2005,3784.06672
5,COAHUILA DE ZARAGOZA,2006,3711.89798
5,COAHUILA DE ZARAGOZA,2007,3500.28969
